r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
43,41,19,107,3,77,94,27,104,103,0
77,19,50,103,65,49,58,18,30,107,1
27,15,12,69,23,81,43,29,111,60,1
72,66,57,86,34,43,67,51,68,69,0
48,34,108,86,103,11,27,70,57,83,0
33,12,39,68,16,77,40,17,30,107,0
59,49,27,58,23,72,76,29,16,87,1
11,63,66,65,16,54,15,57,88,112,1
9,41,53,103,3,13,48,64,108,28,1
10,78,9,84,68,63,11,104,112,51,1
19,15,27,78,85,48,72,57,107,30,1
18,15,29,68,16,1,9,65,112,3,0
38,18,11,27,16,81,13,103,68,7,1
49,60,93,78,68,48,15,30,65,100,0
43,19,29,68,23,94,8,60,104,87,0
20,19,78,16,79,15,63,57,87,107,0
12,19,22,100,90,104,72,34,86,51,1
19,76,69,23,3,63,15,29,86,28,1
11,54,64,55,51,8,13,16,85,75,1
61,40,81,30,88,109,98,27,13,107,1
49,93,108,68,14,64,92,34,19,60,1
27,48,78,60,26,81,57,76,3,16,0
17,27,60,11,88,77,43,38,68,23,0
57,41,46,68,100,11,70,13,51,89,0
27,94,104,17,3,12,29,34,62,86,1
49,19,78,112,103,77,17,60,69,87,0
95,13,29,60,3,77,33,114,103,86,0
49,61,13,100,68,81,102,34,107,3,1
11,54,27,104,103,38,43,72,87,16,0
6,46,40,79,16,19,13,57,26,62,1
64,15,8,104,16,77,9,27,65,100,0
43,41,34,30,100,49,109,19,103,50,0
12,15,69,27,60,10,49,19,68,100,0
49,94,104,100,68,43,29,67,107,37,0
9,81,69,7,3,48,25,100,104,87,1
94,19,57,68,16,10,13,11,27,100,1
77,94,37,88,100,114,13,19,60,30,1
12,55,72,79,16,13,4,37,60,100,1
8,43,108,26,16,15,17,78,86,7,0
42,15,55,68,100,109,11,97,87,51,0
10,12,13,103,3,49,109,55,87,100,1
109,57,47,16,68,58,27,12,94,62,1
12,76,13,79,16,94,19,27,104,100,0
109,13,16,69,3,49,33,81,51,68,1
49,8,87,16,65,109,58,34,3,107,0
49,43,104,60,50,48,19,9,27,16,1
19,49,33,98,30,77,76,29,114,3,1
46,8,86,65,7,19,39,29,68,16,1
39,12,57,84,16,109,15,29,86,107,0
57,72,15,13,84,81,78,69,31,51,0
49,54,27,103,28,72,43,60,87,104,0
9,76,38,16,87,10,19,64,100,78,0
27,9,23,108,68,15,22,58,16,3,1
54,43,64,86,88,109,33,27,15,16,0
11,45,27,57,91,72,30,69,51,34,0
109,13,88,107,85,94,43,29,87,100,0
9,43,26,78,51,46,19,27,57,84,0
43,1,97,16,30,56,94,60,65,87,0
52,19,27,47,30,77,43,108,86,83,0
9,27,114,57,69,48,15,78,100,84,1
11,15,60,51,86,9,41,78,30,16,0
48,11,100,68,65,109,43,88,102,50,0
94,15,78,68,60,12,33,40,50,107,0
11,19,29,68,107,15,76,41,30,60,1
9,15,13,101,16,39,81,78,110,3,1
10,43,69,50,88,48,11,78,87,100,0
10,76,13,87,16,48,47,57,14,3,0
19,98,79,38,16,49,12,57,30,107,0
9,48,74,68,32,10,110,8,107,5,1
73,9,8,63,119,96,17,44,86,26,0
7,67,91,74,86,59,93,23,14,26,0
41,33,113,7,32,19,4,9,5,62,1
36,106,42,9,79,12,14,49,40,101,1
42,74,70,84,101,92,63,37,100,34,0
114,52,17,78,107,45,63,98,28,20,0
11,78,67,14,30,21,58,8,83,26,0
12,74,2,26,87,109,61,7,79,107,0
70,69,34,87,100,42,23,41,3,22,0
42,63,2,5,85,10,74,32,112,79,1
56,25,62,71,9,21,19,7,26,114,1
63,5,39,9,8,12,85,119,14,34,0
33,11,9,14,26,6,64,75,85,71,0
56,73,79,7,65,23,74,68,14,16,1
15,114,30,11,14,61,41,27,110,86,0
33,12,50,107,112,36,46,96,85,3,1
109,45,114,7,84,106,32,2,110,3,1
12,73,63,27,85,109,17,2,5,112,1
53,42,106,40,110,72,70,91,98,84,0
6,39,96,79,83,109,36,19,22,2,1
11,96,106,84,91,81,9,36,5,112,1
63,2,17,7,3,109,19,74,85,86,1
12,19,9,65,31,49,34,84,110,3,1
109,25,119,84,22,72,59,91,4,111,0
56,36,25,112,31,1,2,22,84,110,0
12,70,74,21,85,82,6,63,84,7,0
95,17,25,84,31,45,67,106,7,112,0
63,25,5,65,84,109,60,112,2,3,0
46,36,78,112,84,6,45,17,83,85,1
17,36,112,96,90,59,9,40,3,83,0
45,95,17,83,84,56,99,70,112,119,1
12,46,2,110,3,104,114,63,97,84,1
109,27,79,96,84,63,4,36,19,75,1
70,25,106,22,110,19,63,12,112,31,1
70,19,106,22,110,63,9,74,3,83,1
95,74,29,110,84,25,19,75,2,56,1
36,114,22,112,84,66,21,25,106,34,0
78,12,22,51,112,6,45,36,84,110,0
6,74,84,112,2,33,72,22,91,3,0
11,40,68,2,112,9,25,70,111,7,1
40,74,91,81,5,61,12,78,112,85,0
35,70,110,112,84,6,9,36,85,7,0
82,70,110,86,84,9,112,14,114,5,0
6,39,3,96,112,49,53,67,83,36,0
53,63,67,112,22,49,45,6,33,84,1
58,92,6,20,84,53,114,67,75,7,1
33,12,11,7,111,61,36,63,100,3,1
45,42,23,110,7,6,73,9,19,112,0
45,103,2,70,84,10,50,96,7,85,0
35,15,102,87,100,76,39,16,112,62,0
27,19,76,57,23,75,41,72,81,30,1
8,78,66,13,30,39,54,16,90,3,1
80,20,64,103,16,47,102,72,7,30,1
109,27,11,78,100,76,113,57,30,23,0
109,47,29,69,30,45,41,57,87,107,0
109,66,39,78,87,19,57,11,26,51,0
35,49,58,15,100,45,29,72,86,103,1
58,72,12,100,87,43,15,88,30,69,0
44,13,7,19,68,40,72,41,50,100,1
38,53,77,47,86,61,81,58,119,60,0
109,39,103,86,16,57,43,65,89,87,1
80,76,57,16,87,45,114,104,89,86,0
77,11,38,91,3,53,109,13,16,37,0
13,12,19,16,68,39,18,104,100,30,1
77,11,104,87,88,43,18,100,37,16,1
11,19,15,103,84,72,49,39,68,100,0
49,11,78,3,90,8,27,15,13,107,0
54,65,68,60,101,12,19,76,100,111,0
48,49,69,87,16,45,19,53,72,23,1
13,10,78,119,16,53,109,89,47,30,0
11,41,30,16,51,54,47,65,100,3,1
109,108,13,51,87,77,11,49,26,103,1
48,11,108,86,51,66,76,60,46,3,1
74,19,27,104,86,54,103,37,34,16,1
8,74,78,60,87,53,80,3,34,62,1
63,27,102,43,89,35,1,39,62,87,1
47,33,41,68,16,109,76,13,30,103,1
43,72,65,103,30,58,54,76,62,87,0
27,60,94,41,103,77,46,38,20,51,0
49,15,41,23,3,8,76,27,16,103,1
41,39,15,27,103,58,11,37,104,51,1
47,42,33,16,3,39,104,29,100,103,1
77,64,52,3,16,53,17,78,19,30,1
49,12,13,30,103,1,72,108,119,62,0
77,12,7,90,100,114,66,46,78,86,0
63,102,51,34,87,93,38,27,11,16,1
72,43,104,16,3,54,107,69,30,34,0
15,76,78,87,16,66,72,19,13,86,0
54,108,13,87,16,47,72,104,64,89,1
63,19,39,86,62,15,78,34,51,87,1
49,76,57,103,30,25,53,72,88,86,0
47,72,29,50,16,43,54,102,30,88,0
80,72,16,68,86,92,57,78,30,100,1
109,19,39,50,103,76,104,65,30,100,1
15,16,76,85,86,47,81,65,37,51,0
11,8,60,119,86,80,43,16,30,88,1
43,108,77,86,85,92,18,57,91,30,0
47,95,60,84,107,49,77,16,104,27,1
109,43,108,87,111,77,76,37,40,60,0
72,38,17,68,16,39,54,3,30,103,1
53,25,95,119,16,19,104,9,87,62,0
109,35,87,16,103,76,8,29,64,89,1
94,20,16,88,112,8,47,38,87,51,1
49,98,16,86,100,72,39,108,60,37,0
77,72,38,100,101,43,18,60,87,16,1
104,72,55,100,30,39,42,66,101,16,0
109,54,13,100,87,95,35,108,52,16,0
109,39,89,57,30,53,43,41,87,69,1
72,76,57,30,60,48,49,19,107,87,1
54,53,49,100,87,76,72,65,111,62,1
10,11,78,89,87,43,72,37,51,16,0
54,11,88,103,3,43,18,16,90,51,1
77,11,88,89,3,49,38,15,51,87,1
18,30,13,57,85,19,53,17,86,16,1
18,11,60,51,30,12,13,38,66,100,1
49,8,72,3,62,54,76,16,90,87,1
63,23,43,90,16,94,9,72,100,30,1
41,15,16,103,30,77,74,38,62,3,0
12,33,13,60,112,77,52,30,7,86,1
72,75,65,34,16,102,67,106,86,103,1
77,11,15,60,86,95,43,72,89,30,0
109,33,47,30,107,95,11,57,87,7,0
12,43,19,75,62,20,109,69,87,89,1
77,72,30,29,7,60,66,114,39,100,1
43,81,19,87,107,54,47,89,86,68,1
12,15,86,16,83,77,43,38,58,87,0
77,72,60,7,3,39,48,16,90,30,1
15,76,102,30,100,39,72,19,65,87,0
49,18,57,51,3,53,109,13,62,87,0
29,63,11,51,64,66,54,39,16,86,0
43,61,48,86,100,94,20,38,68,62,0
109,39,16,103,87,49,43,64,89,90,0
49,38,41,89,87,19,72,98,91,100,1
35,78,9,87,88,49,15,58,107,3,1
43,42,102,86,16,15,72,69,3,100,1
72,44,57,7,87,49,35,13,16,86,1
49,35,57,89,3,72,102,11,86,103,0
54,15,13,23,119,77,47,19,103,87,1
49,53,15,3,103,72,108,86,34,88,0
77,38,11,7,87,12,72,69,107,3,1
49,72,33,107,87,8,108,13,16,30,1
49,15,102,100,86,73,19,63,87,103,1
43,109,16,37,66,45,72,38,90,26,0
49,74,69,119,16,114,15,13,103,30,1
89,47,81,51,87,13,18,65,103,75,1
49,23,102,119,51,77,13,40,16,87,1
81,15,89,68,16,43,63,78,60,111,0
72,12,57,86,30,53,39,15,23,3,0
109,8,64,13,89,12,51,106,100,87,1
94,15,78,7,87,81,76,39,86,100,0
45,15,72,64,100,40,19,58,16,101,1
92,54,15,86,87,66,39,19,68,16,1
76,19,72,86,88,43,66,54,60,87,0
12,49,13,100,90,18,30,88,34,107,0
64,102,109,86,80,77,34,65,60,3,0
33,72,44,89,50,42,19,76,103,87,1
54,78,76,86,91,92,12,65,16,87,1
109,49,102,103,30,11,41,16,65,87,0
109,13,89,78,87,54,76,30,57,100,0
49,109,65,100,3,11,12,57,89,30,0
58,1,97,100,3,109,39,19,30,90,0
72,11,64,16,100,54,34,53,30,103,1
109,19,98,30,86,49,74,78,87,89,1
109,39,60,65,87,43,93,103,16,111,1
47,72,16,20,51,9,108,76,87,89,0
15,108,27,76,100,43,63,104,50,89,1
49,8,33,89,87,18,13,16,86,90,0
46,63,13,86,103,11,54,60,100,26,1
63,43,78,23,100,9,72,76,30,51,0
54,43,78,23,3,12,39,19,51,37,1
13,48,92,108,107,54,19,101,100,65,0
72,47,13,30,100,109,58,39,14,87,1
49,48,66,57,107,94,15,108,51,86,0
77,60,104,76,30,61,38,72,90,86,1
80,19,34,62,3,54,41,47,60,87,1
94,16,106,87,103,19,76,29,62,86,0
18,11,65,86,51,8,76,38,100,3,1
41,35,99,19,90,109,29,76,3,100,0
72,76,7,57,3,48,64,15,119,51,1
109,43,96,62,30,49,64,38,18,107,1
43,8,88,51,30,77,46,19,90,87,1
48,92,16,60,3,25,15,108,37,107,0
43,67,38,37,51,114,76,78,60,30,1
72,53,47,16,119,41,34,49,107,87,1
15,46,29,60,87,11,114,13,119,100,0
43,109,102,3,100,19,22,65,91,27,1
46,72,108,103,87,56,94,38,91,101,0
10,39,30,65,62,54,15,89,16,3,1
25,44,53,57,16,92,72,108,91,119,1
39,19,29,86,3,15,76,79,16,57,0
8,11,58,29,51,66,72,19,30,34,1
39,19,12,16,68,52,63,96,100,50,0
53,57,64,72,100,12,15,13,103,30,0
43,53,42,100,111,72,19,39,7,30,1
41,43,75,68,16,33,72,56,107,3,1
72,102,98,3,16,8,55,49,62,87,1
15,34,57,87,107,77,11,108,86,68,0
109,11,51,66,20,72,108,23,100,5,1
11,98,29,86,16,27,99,46,57,62,1
41,15,78,69,30,27,63,39,60,103,1
45,72,15,16,68,11,13,18,91,3,1
53,94,19,89,68,54,102,30,22,16,0
19,11,64,89,88,72,47,55,87,16,1
72,47,57,89,30,19,38,13,86,85,1
95,27,108,13,100,77,47,103,65,87,1
33,39,94,89,3,15,49,13,60,86,0
80,11,19,103,84,54,15,29,100,87,1
43,64,38,103,34,29,11,9,89,87,1
45,12,89,16,68,104,15,34,86,100,1
11,19,54,16,87,43,64,20,78,89,0
77,11,38,87,89,58,49,54,30,51,1
8,94,78,3,86,72,39,57,107,87,0
8,76,108,87,60,43,58,19,16,3,0
49,72,3,16,90,81,11,69,30,51,1
47,38,34,51,87,72,39,104,3,107,1
95,43,57,87,107,78,19,54,16,86,1
15,46,49,107,87,11,72,13,30,51,0
42,15,11,100,111,72,13,75,19,89,0
92,33,72,91,3,95,76,13,64,89,1
72,39,58,16,107,15,19,13,86,103,1
45,81,78,16,50,77,38,94,86,91,0
18,43,15,3,62,53,27,76,72,16,1
45,72,53,86,103,49,54,16,89,87,1
53,43,72,107,87,109,38,19,88,68,0
49,72,57,87,89,39,8,78,3,60,1
48,47,38,16,87,43,54,104,119,86,0
58,43,18,30,100,61,72,13,3,51,0
72,49,39,30,16,19,76,7,65,87,0
108,114,12,28,86,77,72,98,3,69,0
15,19,57,30,16,114,13,97,119,107,0
47,7,72,62,87,102,61,20,86,3,0
15,13,74,100,3,109,19,76,66,86,0
15,114,38,26,91,63,76,57,107,3,1
46,76,51,87,16,13,48,38,64,89,1
77,72,13,30,107,49,102,39,66,60,1
109,13,97,60,119,77,108,19,30,107,0
10,17,78,100,87,72,74,49,51,30,1
45,49,81,30,107,58,27,42,47,62,0
58,41,76,86,103,72,25,57,3,119,0
44,11,78,30,100,109,27,76,57,23,0
15,44,57,16,30,58,38,11,114,86,0
15,49,38,16,3,72,12,2,62,87,0
19,8,17,100,119,49,72,99,68,51,1
35,43,60,87,16,45,109,58,38,89,1
12,16,60,84,103,72,19,13,90,30,0
8,76,30,65,16,77,35,38,90,100,1
9,72,2,89,87,109,57,13,66,3,0
77,35,13,100,30,15,11,103,16,86,0
38,15,13,62,34,52,72,100,57,107,1
43,53,8,30,16,19,15,69,88,87,1
109,72,78,3,107,43,8,27,57,7,1
43,63,65,103,3,42,58,51,22,68,0
59,41,9,66,89,63,29,39,103,87,0
10,38,92,100,68,43,12,79,16,107,0
45,94,38,51,87,58,48,43,90,100,1
19,81,47,30,51,72,43,41,107,50,0
47,57,64,12,16,72,19,78,119,91,0
80,96,17,66,86,77,16,74,68,100,1
77,76,29,16,87,43,38,44,62,112,1
63,74,69,107,37,72,104,100,34,101,0
41,72,38,87,100,54,13,34,30,89,1
45,19,18,16,30,104,15,65,103,86,0
61,19,78,86,79,44,76,57,100,87,1
109,35,29,30,100,72,89,76,65,64,1
93,78,30,34,107,43,109,29,86,79,1
92,33,15,60,100,43,108,41,62,87,0
41,43,58,65,87,49,3,12,68,107,0
109,76,30,100,88,45,53,10,108,107,1
77,48,69,62,86,76,41,57,112,100,1
43,54,68,100,65,19,12,13,7,3,1
45,35,77,100,86,109,92,62,16,112,0
15,76,102,103,87,109,72,89,107,30,0
8,9,29,103,87,53,19,39,30,90,0
58,43,76,87,16,15,39,19,100,86,1
72,35,29,100,87,114,43,64,38,90,0
109,53,64,103,16,17,15,78,30,51,1
109,72,69,89,3,12,58,43,87,51,1
80,43,65,3,103,93,74,57,86,20,1
109,47,60,100,87,12,53,19,78,107,1
63,57,76,89,30,11,15,19,107,86,0
61,72,57,30,107,109,43,78,100,86,0
95,39,119,60,87,72,49,104,30,103,0
49,77,7,34,30,80,19,86,16,68,0
43,38,41,103,91,33,39,109,62,30,1
109,66,46,78,20,114,106,64,60,58,1
109,27,76,69,13,43,41,3,57,65,0
77,64,39,35,103,27,76,17,65,107,0
43,41,29,68,16,27,12,34,65,100,1
77,64,58,15,23,19,16,60,34,30,0
77,27,39,65,107,11,54,102,26,100,0
104,74,9,62,30,43,58,93,16,3,1
41,63,17,101,107,94,12,16,79,103,0
39,72,78,69,3,12,58,47,101,65,1
94,108,20,62,87,11,41,76,3,103,0
74,15,13,14,86,63,76,16,57,87,1
41,58,43,60,30,48,11,29,26,100,0
48,76,65,88,87,94,81,29,16,68,0
9,59,30,57,107,47,15,13,100,86,0
1,39,27,16,92,72,76,100,85,65,0
82,49,65,87,32,38,8,76,27,51,0
15,38,8,27,14,12,43,68,65,88,0
9,18,27,13,16,43,19,87,100,7,1
49,19,29,16,68,74,70,104,107,31,1
106,15,16,3,83,45,19,61,62,87,0
19,11,29,100,68,43,15,69,23,111,0
54,17,51,19,88,81,11,78,87,100,0
109,41,34,68,107,19,13,22,84,86,0
72,17,29,30,88,63,11,38,27,50,1
38,78,41,103,68,61,54,39,3,100,1
77,58,64,38,16,15,13,54,112,88,1
39,108,72,3,107,48,38,87,34,103,0
77,11,13,60,87,12,49,112,68,16,1
43,15,93,9,14,63,39,29,68,16,0
59,11,29,111,51,19,43,102,65,84,0
109,104,39,60,112,77,69,62,34,87,0
63,104,106,111,100,81,17,65,16,68,1
27,19,15,62,34,39,54,29,86,84,1
58,47,92,41,100,81,11,29,68,51,0
114,13,76,112,103,11,43,29,51,26,1
19,104,39,110,107,54,11,29,68,100,1
77,43,29,68,16,15,13,18,112,60,1
49,59,57,79,107,47,19,13,86,100,0
35,41,38,100,30,8,33,11,107,68,0
109,19,69,50,16,49,76,70,60,3,0
8,39,58,88,5,54,27,13,60,29,0
63,49,17,16,83,19,76,64,65,107,0
77,94,16,83,50,19,43,60,75,69,0
8,11,98,27,107,77,49,78,87,51,0
47,81,78,103,87,94,49,13,88,3,1
81,76,65,75,100,11,54,78,87,62,0
43,15,27,29,103,49,19,104,60,68,0
12,27,11,78,103,54,76,13,68,100,1
11,54,78,27,62,39,77,7,60,30,1
48,43,65,60,30,72,20,51,29,50,1
53,43,72,98,100,18,49,78,79,103,0
93,78,15,14,87,27,43,81,65,62,0
106,64,13,11,60,43,72,29,100,26,0
94,78,20,107,87,19,11,41,101,100,1
19,27,60,69,34,43,114,57,68,16,1
63,81,68,69,107,59,11,16,51,111,0
49,102,47,87,62,94,19,29,3,23,1
19,39,78,101,107,48,11,29,3,51,0
19,102,76,84,79,109,15,65,87,100,0
47,38,114,107,79,77,64,106,104,103,0
1,39,57,100,86,38,94,27,19,62,1
49,18,29,68,100,63,43,41,16,50,1
77,11,13,27,3,72,43,38,16,75,1
19,49,27,57,107,43,114,100,16,86,1
114,47,64,29,100,19,43,108,85,88,1
27,43,70,78,88,12,47,60,68,16,0
8,16,62,34,86,59,11,64,88,51,0
94,63,78,16,87,19,11,92,100,103,1
8,94,65,87,100,41,47,27,78,103,0
38,19,76,101,88,54,94,78,100,87,1
109,39,78,60,50,17,18,79,104,103,1
63,15,104,107,68,78,40,76,100,30,0
41,13,64,39,60,18,11,100,16,68,1
38,19,30,59,85,72,15,29,87,51,0
48,11,38,75,100,19,39,78,107,68,0
77,43,78,103,30,63,76,100,16,87,0
49,11,29,100,110,72,27,78,76,51,1
94,8,57,88,84,41,78,22,87,62,0
47,114,65,3,107,19,76,102,84,86,0
92,43,94,104,100,11,81,29,87,51,0
59,86,51,22,69,27,54,17,16,104,1
41,19,68,34,85,57,64,94,65,100,1
19,76,65,7,3,63,102,34,30,103,1
48,27,47,78,107,11,98,33,100,86,0
48,17,69,103,75,49,8,68,65,100,0
38,39,18,100,68,11,12,51,111,107,0
11,81,29,16,68,15,94,69,60,79,0
77,35,29,68,16,114,11,60,84,110,1
94,39,100,65,3,109,49,16,75,62,0
19,17,57,3,65,41,34,104,16,68,1
47,78,41,103,87,38,43,48,27,83,1
43,20,78,69,87,27,12,13,57,83,1
18,17,69,75,88,38,41,19,87,103,0
11,38,72,100,111,49,13,39,7,68,1
114,43,29,16,68,11,70,57,86,51,0
76,41,38,103,87,19,61,104,3,107,1
58,64,19,17,103,48,11,57,79,100,1
48,39,78,30,51,74,92,58,15,16,1
72,57,17,16,84,11,49,38,87,51,0
18,78,34,3,51,61,59,11,87,107,0
43,64,77,78,66,49,72,57,100,87,0
81,19,69,91,16,93,39,55,100,101,0
81,39,16,29,68,8,11,78,100,75,1
77,38,34,50,16,12,11,104,92,100,1
77,104,34,107,87,15,17,16,75,62,1
77,35,104,30,51,11,18,78,16,87,1
27,11,72,29,3,41,15,78,87,107,1
11,15,78,89,87,48,57,13,60,86,0
77,58,19,87,107,12,39,30,29,16,1
17,114,40,79,88,49,59,64,57,103,0
15,76,69,7,3,11,13,12,27,51,1
12,57,13,86,88,48,43,78,27,51,0
19,103,23,3,34,64,48,43,41,107,1
49,12,27,78,103,98,65,19,88,112,1
8,19,38,58,100,72,78,7,34,3,0
43,81,13,51,87,19,38,86,34,84,1
94,57,15,112,16,77,64,13,65,103,1
12,9,27,100,97,15,78,34,69,30,0
11,94,65,3,100,43,19,102,68,51,1
77,94,78,26,3,35,19,89,30,65,1
49,19,64,78,103,18,57,60,76,101,0
109,39,41,103,87,43,19,69,100,3,1
19,104,34,30,62,114,41,17,64,100,0
12,74,107,16,68,72,94,27,13,3,0
12,58,47,62,87,11,70,27,65,51,0
43,81,64,57,62,15,78,17,85,86,1
27,48,29,15,23,9,81,13,3,112,0
41,34,65,103,68,11,89,13,79,23,0
12,27,39,33,16,49,15,57,71,101,1
77,35,13,69,27,57,94,8,103,84,1
43,114,38,68,107,8,35,29,16,3,0
1,11,13,103,30,49,44,57,85,87,0
49,114,69,107,68,77,13,57,50,83,0
11,114,78,3,7,109,49,29,68,51,0
11,12,65,16,79,76,48,51,104,30,1
49,72,29,112,62,48,27,47,65,100,0
52,49,69,87,103,19,11,98,14,3,1
64,72,17,65,16,41,104,52,103,3,0
11,38,17,27,100,77,34,88,30,51,1
109,27,39,60,69,48,43,57,3,16,0
59,11,61,87,51,96,39,16,60,30,1
12,76,69,100,87,109,47,41,16,68,1
19,74,13,86,3,81,47,78,16,87,0
18,41,103,34,75,49,13,81,100,87,1
58,89,27,13,23,49,9,64,69,103,1
77,64,66,60,59,19,98,29,30,100,0
109,19,69,100,87,52,108,48,13,3,1
94,19,29,110,3,48,11,88,78,79,1
77,47,58,78,107,29,81,98,62,30,1
77,60,30,88,34,49,27,72,16,100,1
19,52,27,78,100,12,43,29,107,3,0
48,77,38,60,75,72,11,103,14,3,1
39,114,38,100,30,19,104,13,87,16,0
72,60,34,68,51,11,41,65,110,84,0
109,35,69,84,68,77,38,11,27,107,1
12,38,11,100,112,17,34,41,51,87,1
49,43,103,88,79,48,13,35,62,30,1
81,11,16,51,68,39,48,104,85,30,1
103,15,11,86,51,48,43,29,30,62,1
8,34,29,3,62,15,78,67,87,14,0
77,35,29,27,60,11,64,15,72,16,1
19,61,29,90,86,46,76,27,104,100,0
43,41,19,85,101,36,78,47,30,100,1
12,76,55,68,88,77,27,69,9,23,1
81,33,22,68,16,27,58,94,103,79,1
58,27,8,76,88,49,54,68,29,107,0
93,76,16,19,20,61,49,65,100,68,0
39,41,69,68,107,42,78,11,64,88,0
72,94,16,19,86,54,11,13,50,23,0
19,39,69,23,101,49,11,50,51,16,0
109,11,69,86,51,17,81,19,57,88,1
49,39,16,19,3,27,13,48,88,65,0
109,27,47,78,83,19,52,69,3,87,0
54,11,78,3,103,81,98,58,16,68,1
77,76,57,87,14,43,19,38,60,86,1
35,27,48,108,100,94,76,57,86,62,0
49,48,78,79,9,77,38,34,58,107,1
48,13,69,62,16,27,72,29,76,100,1
102,114,100,34,26,67,13,69,103,79,1
6,53,11,51,86,72,17,57,88,3,0
72,39,19,16,86,27,109,76,29,100,1
114,78,110,34,100,43,63,29,68,16,0
41,48,27,87,37,8,49,51,60,30,1
38,81,39,100,3,15,27,69,78,34,0
73,39,41,30,100,49,20,78,27,103,0
77,74,87,103,88,18,49,60,65,110,1
11,77,86,28,62,94,19,103,65,87,0
77,46,13,50,71,1,98,19,100,68,1
58,77,13,12,87,8,17,65,100,3,0
98,41,43,88,68,77,61,11,51,72,0
11,19,79,57,103,81,49,104,68,23,1
53,93,17,87,88,15,104,13,112,107,1
64,76,57,67,27,94,15,28,68,107,0
43,39,41,30,103,109,78,15,51,86,1
81,39,29,51,87,109,64,76,69,62,0
46,12,29,110,51,11,98,102,26,84,1
61,77,11,85,88,19,46,29,27,62,0
54,76,88,89,87,77,68,19,104,16,1
48,27,17,65,100,8,78,34,87,103,0
19,13,26,34,62,4,41,49,68,16,1
77,11,54,51,87,8,38,39,30,100,1
77,49,27,58,16,8,47,78,100,87,1
77,22,69,110,60,109,8,27,103,29,0
94,27,19,88,100,58,15,76,62,87,1
8,43,13,60,112,49,11,88,103,87,0
77,34,104,30,62,74,41,65,79,88,1
39,72,69,100,68,77,11,27,29,51,0
48,11,69,86,88,49,54,78,68,16,0
77,11,68,29,107,94,48,41,110,84,1
11,18,60,68,51,80,19,78,86,84,0
54,60,76,16,87,59,27,69,57,62,0
15,93,29,51,87,48,11,27,65,84,1
